dropback_player_id,player,first_observed_season,last_observed_season,observed_seasons,qualified_seasons,qualified_seasons_above_100,dropbacks,dropback_weighted_season_pass_plus,pooled_adjusted_epa_per_dropback,sum_season_adjusted_epa_above_average
00-0033858,J.Smith,2023,2023,1,0,0,1,26.88676130746694,-0.8865592766114285,-0.8854281980297017
00-0033869,M.Trubisky,2017,2025,9,4,2,2166,98.28344989326425,0.021617655858863587,-39.41261004439662
00-0033873,P.Mahomes,2017,2025,9,8,8,5207,115.42184797886071,0.23345766772237067,1007.6227447765096
00-0033891,Z.Jones,2018,2020,2,0,0,2,134.88059888752687,0.3735746778224811,0.6129664948090585
00-0033893,D.Cook,2022,2022,1,0,0,1,-474.9495779508336,-6.912453708058049,-6.927926953583971
00-0033897,J.Mixon,2024,2024,1,0,0,1,35.54629200931997,-0.762048364508107,-0.814399236964588
00-0033899,D.Kizer,2017,2018,2,1,0,607,83.34327838250901,-0.21318112888486646,-135.3210895483413
00-0033906,A.Kamara,2019,2019,1,0,0,1,180.7843559506702,1.000268667318245,0.9579795023392367
00-0033908,C.Kupp,2017,2025,5,0,0,5,-29.056294630173046,-1.568828614572801,-7.991195256906747
00-0033921,C.Godwin,2023,2023,1,0,0,1,42.923561024449484,-0.6923477366838279,-0.6912166581021011
00-0033923,K.Hunt,2019,2019,1,0,0,1,-2.086650538866948,-1.1683031276478162,-1.2105922926268247
00-0033936,C.Beathard,2017,2023,6,1,0,642,89.94857201331139,-0.10254412861882141,-87.41580324533103
00-0033949,J.Dobbs,2018,2025,6,1,0,639,90.99752593670486,-0.10293670685606615,-70.74603034462605
00-0033958,N.Peterman,2017,2023,6,0,0,185,62.31679158601931,-0.47934798284274943,-95.45878091055665
00-0034052,B.Zylstra,2020,2021,2,0,0,2,28.314094706805577,-0.8216360229107981,-1.7616360739338837
00-0034064,C.Wadman,2018,2019,2,0,0,2,81.47563244770211,0.11504765629916602,0.13150853295096354
00-0034162,J.Scott,2018,2024,2,0,0,2,-35.597367744915694,-1.7000421117232487,-3.508732710571339
00-0034177,T.Boyle,2019,2024,6,0,0,247,77.37484697644526,-0.24934124311831218,-68.48092268742977
00-0034253,D.Hilliard,2018,2018,1,0,0,1,-354.89351657181146,-6.443887970640943,-6.500185585309303
00-0034279,E.St. Brown,2022,2022,1,0,0,1,67.1948713633762,-0.37981626091648474,-0.3952895064424074
00-0034331,J.Samuels,2019,2019,1,0,0,5,36.535978595159555,-0.7102975323634899,-3.762933486712492
00-0034343,J.Rosen,2018,2021,3,1,0,590,68.11991343173702,-0.3778086219883456,-254.15559090725966
00-0034348,C.Sutton,2019,2025,4,0,0,5,209.34791826260076,1.3985366029154673,6.762068211427981
00-0034353,A.Miller,2018,2018,1,0,0,1,204.31815311253428,1.5469483503799084,1.4906507357115482
00-0034369,K.Lauletta,2018,2018,1,0,0,5,2.3978488403338503,-1.3383850373168267,-6.973413259925935
